Name	Rank	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species	Intensity F01_Fraction1	Intensity F01_Fraction2	Intensity F01_Fraction3	Intensity F01_Fraction4	Intensity F02_FractionCyto	Intensity F02_FractionEnv	Intensity F04	Intensity F05	Intensity F06	Intensity F07_Fraction1	Intensity F07_Fraction2	Intensity F07_Fraction3	Intensity F07_Fraction4
Archaea	Superkingdom	Archaea								0.0	3.5287	0.0	1.2333E8	978.72	1.89745126E7	304550.0	5688441.3	1502234.51	1998608.7	463849.29	435225.3	168320.5
Bacteria	Superkingdom	Bacteria								1.1387418853222E10	2.4001313943855304E11	2.1340881909415234E10	1.0536829415698986E10	5.1162225728678E10	4.600677583669E10	6.12993886646321E9	3.3762853269529995E10	2.4694683852469994E10	1.1061093509260002E10	1.6109010099149994E10	3.637111528307999E10	2.9997983080589985E10
Desulfobacterota_A	Phylum	Bacteria		Desulfobacterota_A						0.0	470190.0	18189.0	3851754.0	0.0	0.0	226976.0	3703440.0	1073840.0	958450.0	1197390.0	5510660.0	0.0
Proteobacteria	Phylum	Bacteria		Proteobacteria						4519931.9	2.7460430922790003E9	2.4798892812E8	6.800916510078E7	4.7776415936E8	5.079888045E8	4.89108463604E7	2.401483947E8	2.193701359E8	9.951718330000001E7	1.0123691780000001E8	2.713729167E8	1.766323605E8
Campylobacterota	Phylum	Bacteria		Campylobacterota						94442.0	4232669.62	552852.6	355855.0	1.081402E7	3728444.0	398386.426	3.1492188E7	2.95755948E7	4651500.0	8601667.3	1.23906957E7	4680320.0
Verrucomicrobiota	Phylum	Bacteria		Verrucomicrobiota						598994.1	154156.6	45481.6	3707103.03	3.67154777E8	2.4509577E7	4431865.640000001	4223034.0	8197960.0	2000577.0	3006475.0	1.4452365E7	5859748.0
Halobacteriota	Phylum	Archaea		Halobacteriota						0.0	3.5287	0.0	0.0	978.72	2512.6	0.0	5364121.3	483134.51	1268.7	899.29	4265.3	4370.5
Actinobacteriota	Phylum	Bacteria		Actinobacteriota						1.03984998991E9	9.39361826788E8	4.39676270217E8	3.9653421696159995E8	1.9636928111999998E9	9.87780359141E9	2.4120026097029004E8	1.1040245604E9	9.676921132E8	4.2548948536E8	9.634979689399999E8	1.53517801588E9	1.0387190574000001E9
Desulfobacterota	Phylum	Bacteria		Desulfobacterota						1318136.8	4573176.78	4209447.37	835951.0	6.7007614E8	1.53267897E8	5482107.640000001	9235417.0	2.11373689E7	9813064.0	7990345.0	1.017893E7	1.15409E7
Firmicutes	Phylum	Bacteria		Firmicutes						2.4720351766E8	2.1540377807005203E10	1.3989235609329998E9	6.647383476135E8	6.035647890699999E9	6.078210914179999E9	2.268638573869E8	1.4614054807999997E9	1.3901122365500002E9	6.1860422426E8	7.841327326500001E8	1.9982000064000003E9	1.1500779206999998E9
Firmicutes_A	Phylum	Bacteria		Firmicutes_A						9.827918037612E9	2.1070572483001645E11	1.7568166981944435E10	8.585200108813301E9	3.933597626778801E10	2.806749335187999E10	5.22825616486792E9	2.8769605049329994E10	2.0291040655719997E10	9.24967505164E9	1.3359642787459997E10	3.0328285010299995E10	2.6087667996989983E10
Spirochaetota	Phylum	Bacteria		Spirochaetota						5977.3	1.9094542E8	608452.0	1251019.82	3423940.0	1.080093E7	1500886.0	3931650.0	1.552644E7	1422192.5	450040.0	1.590811E7	5060488.0
Bacteroidota	Phylum	Bacteria		Bacteroidota						2.5837911835E8	3.6429875185544E9	1.6413407306508E9	7.921861313597999E8	2.0620868236299999E9	1.05331055572E9	3.598255292516999E8	1.8925354993000002E9	1.5115102603999999E9	5.834103234E8	7.99615432E8	2.0154359231E9	1.415811203E9
Elusimicrobiota	Phylum	Bacteria		Elusimicrobiota						0.0	3.25255128E7	3545301.0	1862.8	1.6366E7	0.0	883554.0	0.0	0.0	0.0	0.0	0.0	6300800.0
Bdellovibrionota	Phylum	Bacteria		Bdellovibrionota						43707.0	0.0	0.0	0.0	576840.0	0.0	82039.0	0.0	0.0	0.0	0.0	367130.0	109810.0
