Protein IDs	Majority protein IDs	Peptides	Unique peptides	Score	Intensity	Intensity F01_Fraction1	Intensity F01_Fraction2	Intensity F01_Fraction3	Intensity F01_Fraction4	Intensity F02_FractionCyto	Intensity F02_FractionEnv	Intensity F04	Intensity F05	Intensity F06	Intensity F07_Fraction1	Intensity F07_Fraction2	Intensity F07_Fraction3	Intensity F07_Fraction4	Only identified by site	Reverse	Potential contaminant	id
sp|P01876|IGHA1_HUMAN	sp|P01876|IGHA1_HUMAN	105	61	28.3	2.8688E8	1.9742E6	4.9411E6	4.5631E6	4.6026E6	2.2326E7	2.0605E7	2.1948E6	4.5501E7	4.235E7	1.1481E7	3.022E7	6.8095E7	2.8022E7				0
sp|P09093|CEL3A_HUMAN	sp|P09093|CEL3A_HUMAN	218	133	27.83	5.1095E8	9.3068E6	4.0983E6	4.8385E6	3.7009E6	4.9754E7	1.4133E8	4.7462E6	5.7455E7	4.9943E7	2.1512E7	2.4511E7	6.502E7	7.4734E7				1
sp|P01009|A1AT_HUMAN	sp|P01009|A1AT_HUMAN	89	87	27.43	4.0702E9	5.614E7	1.1179E8	5.5155E7	2.967E7	6.8782E7	8.7379E7	3.1231E7	9.8176E8	7.7365E8	1.07E8	2.98E8	1.3182E9	1.5149E8				2
sp|P08861|CEL3B_HUMAN	sp|P08861|CEL3B_HUMAN	138	52	27.21	5.8753E7	3.6636E5	1.4651E6	1.788E6	3.4866E6	5.9517E6	5.2066E6	6.3309E5	8.4904E6	7.0033E6	3.0287E6	3.5706E6	9.1318E6	8.6311E6				3
sp|P04054|PA21B_HUMAN	sp|P04054|PA21B_HUMAN	68	68	27.07	2.7181E8	6.0822E6	2.2143E7	2.1533E6	5.1457E6	2.0189E7	3.7544E7	2.2898E6	3.4348E7	2.9277E7	1.3403E7	1.2831E7	3.8649E7	4.7755E7				4
sp|P19961|AMY2B_HUMAN	sp|P19961|AMY2B_HUMAN	218	9	26.91	4.0331E8	5.7664E6	1.6568E8	2.0574E7	1.682E7	1.1123E7	2.0574E7	1.906E6	3.8165E7	2.5946E7	1.0766E7	2.2861E7	4.4055E7	1.9071E7				5
sp|P01591|IGJ_HUMAN	sp|P01591|IGJ_HUMAN	36	36	26.08	2.9365E7	1.6189E5	5.9141E5	4.1581E5	6.9215E4	2.2075E6	2.1127E6	2.2323E5	3.411E6	2.6178E6	3.5344E5	1.5725E6	8.4822E6	7.1467E6				6
sp|Q8WWU7|ITLN2_HUMAN	sp|Q8WWU7|ITLN2_HUMAN	51	30	25.77	1.2946E7	3.8316E4	1.0435E5	9.5309E4	7.9383E4	7.3214E5	3.2797E6	1.7243E5	1.8682E6	1.5954E6	6.3094E5	8.7605E5	2.4765E6	9.9748E5				7
sp|P01834|IGKC_HUMAN	sp|P01834|IGKC_HUMAN	63	1	25.14	1.2739E7	1.5826E5	0E0	0E0	0E0	1.917E5	1.7127E5	1.578E5	2.7526E6	3.0307E6	5.1616E5	6.1436E5	3.1668E6	1.9798E6				8
sp|P04746|AMYP_HUMAN	sp|P04746|AMYP_HUMAN	234	17	25.1	1.2058E8	1.226E6	7.603E6	1.1074E7	4.8295E6	3.336E6	9.7522E6	2.5453E6	1.5907E7	1.3023E7	5.4214E6	8.6999E6	2.0025E7	1.7133E7				9
sp|P0DTE7|AMY1B_HUMAN	sp|P0DTE7|AMY1B_HUMAN	211	10	24.98	2.8956E7	1.388E5	2.7866E6	2.2849E6	1.2931E6	2.3128E6	2.9485E6	4.7768E5	3.8142E6	2.8652E6	1.2029E6	2.2362E6	4.8375E6	1.7574E6				10
MGYG000003937_01177	MGYG000003937_01177	81	10	24.84	3.388E7	4.7797E5	1.2273E6	2.5385E5	2.0877E5	5.707E6	3.4009E6	4.8487E5	6.0918E6	3.9247E6	2.8472E6	1.4359E6	5.0214E6	2.7984E6				11
