Raw file	Experiment	MS/MS	MS/MS Identified	MS/MS Identified [%]	Peptide Sequences Identified
F01_Fraction1	F01_Fraction1	9157	2009	21.94	914
F01_Fraction2	F01_Fraction2	78706	44545	56.6	13612
F01_Fraction3	F01_Fraction3	68806	38533	56	10930
F01_Fraction4	F01_Fraction4	67038	32730	48.82	8598
F02_FractionCyto	F02_FractionCyto	95417	56018	58.71	30726
F02_FractionEnv	F02_FractionEnv	82041	33521	40.86	19036
F04	F04	66747	14694	22.01	11039
F05	F05	43796	29291	66.88	19490
F06	F06	83187	53785	64.66	27108
F07_Fraction1	F07_Fraction1	36656	23076	62.95	15051
F07_Fraction2	F07_Fraction2	39185	26185	66.82	17291
F07_Fraction3	F07_Fraction3	44479	29818	67.04	19905
F07_Fraction4	F07_Fraction4	40764	23859	58.53	14668
Total		755979	408064	53.98	208368
